"cardmarketId","name","collectorNumber","rarity","expansion","expansionCode","scryfallId","tcgplayerId"
770792,"10,000 Year Reunion (Rainbow Foil)","131","Majestic","Part the Mistveil","MST",,
770758,"10,000 Year Reunion (Regular)","131","Majestic","Part the Mistveil","MST",,
768907,"A Drop in the Ocean // Inner Chi (Marvel)","095","Marvel","Part the Mistveil","MST",,
773849,"A Drop in the Ocean // Inner Chi (Rainbow Foil)","282","Promo","LGS Promos","LGS",,
768906,"A Drop in the Ocean // Inner Chi (Regular)","095","Common","Part the Mistveil","MST",,
772938,"A Drop in the Ocean // Inner Chi (Regular)","025","Common","Part the Mistveil - Enigma Blitz Deck","ENG",,
850318,"A Good Clean Fight (Extended Art Rainbow Foil)","088","Promo","GEM Pack Promos","GEM",,
850317,"A Good Clean Fight (Extended Art Regular)","088","Promo","GEM Pack Promos","GEM",,
849130,"A Good Clean Fight (Rainbow Foil)","021","Super Rare","Super Slam","SUP",,
849129,"A Good Clean Fight (Regular)","021","Super Rare","Super Slam","SUP",,
601228,"Absorb in Aether (Blue) (Normal)","ARC125-R","Rare","Arcane Rising - First","ARC-F",,
601646,"Absorb in Aether (Blue) (Normal)","ARC125","Rare","Arcane Rising - Unlimited","ARC-U",,
601227,"Absorb in Aether (Blue) (Rainbow Foil)","ARC125-R","Rare","Arcane Rising - First","ARC-F",,
601645,"Absorb in Aether (Blue) (Rainbow Foil)","ARC125","Rare","Arcane Rising - Unlimited","ARC-U",,
601224,"Absorb in Aether (Red) (Normal)","ARC123-R","Rare","Arcane Rising - First","ARC-F",,
601642,"Absorb in Aether (Red) (Normal)","ARC123","Rare","Arcane Rising - Unlimited","ARC-U",,
601223,"Absorb in Aether (Red) (Rainbow Foil)","ARC123-R","Rare","Arcane Rising - First","ARC-F",,
601641,"Absorb in Aether (Red) (Rainbow Foil)","ARC123","Rare","Arcane Rising - Unlimited","ARC-U",,
601226,"Absorb in Aether (Yellow) (Normal)","ARC124-R","Rare","Arcane Rising - First","ARC-F",,
601644,"Absorb in Aether (Yellow) (Normal)","ARC124","Rare","Arcane Rising - Unlimited","ARC-U",,
601225,"Absorb in Aether (Yellow) (Rainbow Foil)","ARC124-R","Rare","Arcane Rising - First","ARC-F",,
601643,"Absorb in Aether (Yellow) (Rainbow Foil)","ARC124","Rare","Arcane Rising - Unlimited","ARC-U",,
602057,"Absorption Dome (Normal)","CRU104","Majestic","Crucible of War - First","CRU-F",,
602399,"Absorption Dome (Normal)","CRU104","Majestic","Crucible of War - Unlimited","CRU-U",,
602058,"Absorption Dome (Rainbow Foil)","CRU104","Majestic","Crucible of War - First","CRU-F",,
602400,"Absorption Dome (Rainbow Foil)","CRU104","Majestic","Crucible of War - Unlimited","CRU-U",,
695768,"Achilles Accelerator (Cold Foil Golden)","101","Promo","FAB Promos","FAB",,
601000,"Achilles Accelerator (Cold Foil)","ARC005-C","Common","Arcane Rising - First","ARC-F",,
601001,"Achilles Accelerator (Normal)","ARC005-C","Common","Arcane Rising - First","ARC-F",,
601419,"Achilles Accelerator (Normal)","ARC005","Common","Arcane Rising - Unlimited","ARC-U",,
601418,"Achilles Accelerator (Rainbow Foil)","ARC005","Common","Arcane Rising - Unlimited","ARC-U",,
655378,"Achilles Accelerator (Regular)","186","Common","History Pack 1","1HP",,
667135,"Achilles Accelerator (Regular)","186","Common","History Pack 1 - Black Label","1HP-BL",,
704591,"Achilles Accelerator (Regular)","006","Common","History Pack 1 - Dash Blitz Deck","1HD",,
849648,"Act of Glory (Blue) (Rainbow Foil)","197","Common","Super Slam","SUP",,
849646,"Act of Glory (Blue) (Regular)","197","Common","Super Slam","SUP",,
849968,"Act of Glory (Blue) (Regular)","022","Common","Armory Deck: Pleiades","APS",,
861839,"Act of Glory (Red) (Extended Art Cold Foil)","435","Promo","LGS Promos","LGS",,
849640,"Act of Glory (Red) (Rainbow Foil)","195","Common","Super Slam","SUP",,
849639,"Act of Glory (Red) (Regular)","195","Common","Super Slam","SUP",,
849957,"Act of Glory (Red) (Regular)","011","Common","Armory Deck: Pleiades","APS",,
849642,"Act of Glory (Yellow) (Rainbow Foil)","196","Common","Super Slam","SUP",,
849641,"Act of Glory (Yellow) (Regular)","196","Common","Super Slam","SUP",,
849777,"Adaptive Alpha Mold (Rainbow Foil)","253","Majestic","Super Slam","SUP",,
849776,"Adaptive Alpha Mold (Regular)","253","Majestic","Super Slam","SUP",,
787680,"Adaptive Dissolver (Cold Foil)","246","Majestic","Rosetta","ROS",,
787679,"Adaptive Dissolver (Regular)","246","Majestic","Rosetta","ROS",,
747203,"Adaptive Plating (Cold Foil Golden)","169","Promo","FAB Promos","FAB",,
734331,"Adaptive Plating (Cold Foil)","013","Legendary","Bright Lights","EVO",,
734330,"Adaptive Plating (Rainbow Foil)","013","Legendary","Bright Lights","EVO",,
603087,"Adrenaline Rush (Blue) (Normal)","MON265","Common","Monarch - First","MON-F",,
603676,"Adrenaline Rush (Blue) (Normal)","MON265","Common","Monarch - Unlimited","MON-U",,
603088,"Adrenaline Rush (Blue) (Rainbow Foil)","MON265","Common","Monarch - First","MON-F",,
603677,"Adrenaline Rush (Blue) (Rainbow Foil)","MON265","Common","Monarch - Unlimited","MON-U",,
752194,"Adrenaline Rush (Blue) (Regular)","224","Common","Heavy Hitters","HVY",,
603083,"Adrenaline Rush (Red) (Normal)","MON263","Common","Monarch - First","MON-F",,
603672,"Adrenaline Rush (Red) (Normal)","MON263","Common","Monarch - Unlimited","MON-U",,
603084,"Adrenaline Rush (Red) (Rainbow Foil)","MON263","Common","Monarch - First","MON-F",,
603673,"Adrenaline Rush (Red) (Rainbow Foil)","MON263","Common","Monarch - Unlimited","MON-U",,
752192,"Adrenaline Rush (Red) (Regular)","222","Common","Heavy Hitters","HVY",,
603085,"Adrenaline Rush (Yellow) (Normal)","MON264","Common","Monarch - First","MON-F",,
603674,"Adrenaline Rush (Yellow) (Normal)","MON264","Common","Monarch - Unlimited","MON-U",,
603086,"Adrenaline Rush (Yellow) (Rainbow Foil)","MON264","Common","Monarch - First","MON-F",,
603675,"Adrenaline Rush (Yellow) (Rainbow Foil)","MON264","Common","Monarch - Unlimited","MON-U",,
752193,"Adrenaline Rush (Yellow) (Regular)","223","Common","Heavy Hitters","HVY",,
752200,"Aether Arc (Rainbow Foil)","252","Majestic","Heavy Hitters","HVY",,
752199,"Aether Arc (Regular)","252","Majestic","Heavy Hitters","HVY",,
663168,"Aether Ashwing // Ash (Cold Foil)","042","Common","Uprising","UPR",,
663169,"Aether Ashwing // Ash (Marvel)","042","Marvel","Uprising","UPR",,
662246,"Aether Ashwing // Ash (Regular)","042","Token","Uprising","UPR",,
665872,"Aether Ashwing // Ash (Regular)","DRO002/3","Token","Uprising - Dromai Blitz Deck","DRO",,
809506,"Aether Bindings of the Third Age (Cold Foil Golden)","253","Promo","FAB Promos","FAB",,
787270,"Aether Bindings of the Third Age (Cold Foil)","163","Legendary","Rosetta","ROS",,
787269,"Aether Bindings of the Third Age (Rainbow Foil)","163","Legendary","Rosetta","ROS",,
602178,"Aether Conduit (Cold Foil)","CRU160","Rare","Crucible of War - First","CRU-F",,
602177,"Aether Conduit (Normal)","CRU160","Rare","Crucible of War - First","CRU-F",,
602504,"Aether Conduit (Normal)","CRU160","Rare","Crucible of War - Unlimited","CRU-U",,
602505,"Aether Conduit (Rainbow Foil)","CRU160","Rare","Crucible of War - Unlimited","CRU-U",,
655191,"Aether Conduit (Regular)","304","Rare","History Pack 1","1HP",,
667000,"Aether Conduit (Regular)","304","Rare","History Pack 1 - Black Label","1HP-BL",,
840085,"Aether Crackers (Cold Foil)","334","Promo","FAB Promos","FAB",,
785016,"Aether Crackers (Regular)","005","Common","First Strike: Aurora","AUR",,
663660,"Aether Dart (Blue) (Rainbow Foil)","175","Common","Uprising","UPR",,
663661,"Aether Dart (Blue) (Regular)","175","Common","Uprising","UPR",,
800021,"Aether Dart (Blue) (Regular)","073","Common","Archive Pack - Rosetta","RAP",,
663656,"Aether Dart (Red) (Rainbow Foil)","173","Common","Uprising","UPR",,
663657,"Aether Dart (Red) (Regular)","173","Common","Uprising","UPR",,
663659,"Aether Dart (Yellow) (Rainbow Foil)","174","Common","Uprising","UPR",,
663658,"Aether Dart (Yellow) (Regular)","174","Common","Uprising","UPR",,
601246,"Aether Flare (Blue) (Normal)","ARC134-C","Common","Arcane Rising - First","ARC-F",,
601664,"Aether Flare (Blue) (Normal)","ARC134","Common","Arcane Rising - Unlimited","ARC-U",,
601245,"Aether Flare (Blue) (Rainbow Foil)","ARC134-C","Common","Arcane Rising - First","ARC-F",,
601663,"Aether Flare (Blue) (Rainbow Foil)","ARC134","Common","Arcane Rising - Unlimited","ARC-U",,
655575,"Aether Flare (Blue) (Regular)","325","Common","History Pack 1","1HP",,
667207,"Aether Flare (Blue) (Regular)","325","Common","History Pack 1 - Black Label","1HP-BL",,
704630,"Aether Flare (Blue) (Regular)","017","Common","History Pack 1 - Kano Blitz Deck","1HK",,
800026,"Aether Flare (Blue) (Regular)","076","Common","Archive Pack - Rosetta","RAP",,
601242,"Aether Flare (Red) (Normal)","ARC132-C","Common","Arcane Rising - First","ARC-F",,
601660,"Aether Flare (Red) (Normal)","ARC132","Common","Arcane Rising - Unlimited","ARC-U",,
601241,"Aether Flare (Red) (Rainbow Foil)","ARC132-C","Common","Arcane Rising - First","ARC-F",,
601659,"Aether Flare (Red) (Rainbow Foil)","ARC132","Common","Arcane Rising - Unlimited","ARC-U",,
655573,"Aether Flare (Red) (Regular)","323","Common","History Pack 1","1HP",,
667205,"Aether Flare (Red) (Regular)","323","Common","History Pack 1 - Black Label","1HP-BL",,
704620,"Aether Flare (Red) (Regular)","007","Common","History Pack 1 - Kano Blitz Deck","1HK",,
800023,"Aether Flare (Red) (Regular)","074","Common","Archive Pack - Rosetta","RAP",,
601244,"Aether Flare (Yellow) (Normal)","ARC133-C","Common","Arcane Rising - First","ARC-F",,
601662,"Aether Flare (Yellow) (Normal)","ARC133","Common","Arcane Rising - Unlimited","ARC-U",,
601243,"Aether Flare (Yellow) (Rainbow Foil)","ARC133-C","Common","Arcane Rising - First","ARC-F",,
601661,"Aether Flare (Yellow) (Rainbow Foil)","ARC133","Common","Arcane Rising - Unlimited","ARC-U",,
655574,"Aether Flare (Yellow) (Regular)","324","Common","History Pack 1","1HP",,
667206,"Aether Flare (Yellow) (Regular)","324","Common","History Pack 1 - Black Label","1HP-BL",,
800024,"Aether Flare (Yellow) (Regular)","075","Common","Archive Pack - Rosetta","RAP",,
663555,"Aether Hail (Blue) (Rainbow Foil)","129","Common","Uprising","UPR",,
663556,"Aether Hail (Blue) (Regular)","129","Common","Uprising","UPR",,
663549,"Aether Hail (Red) (Rainbow Foil)","127","Common","Uprising","UPR",,
663550,"Aether Hail (Red) (Regular)","127","Common","Uprising","UPR",,
663554,"Aether Hail (Yellow) (Rainbow Foil)","128","Common","Uprising","UPR",,
663552,"Aether Hail (Yellow) (Regular)","128","Common","Uprising","UPR",,
663521,"Aether Icevein (Blue) (Rainbow Foil)","115","Common","Uprising","UPR",,
663520,"Aether Icevein (Blue) (Regular)","115","Common","Uprising","UPR",,
663517,"Aether Icevein (Red) (Rainbow Foil)","113","Common","Uprising","UPR",,
663516,"Aether Icevein (Red) (Regular)","113","Common","Uprising","UPR",,
663518,"Aether Icevein (Yellow) (Rainbow Foil)","114","Common","Uprising","UPR",,
